id,date,provid,provdis,provsub,type,sex,diag
61791303,10/6/2021,14,1407,140710,cat,female,neg
61791302,10/6/2021,14,1407,140714,cat,female,neg
61791301,10/6/2021,14,1407,140703,cat,female,neg
61791300,10/6/2021,14,1407,140701,cat,female,neg
61791299,10/6/2021,14,1407,140715,cat,female,neg
61791298,10/6/2021,14,1407,140701,cat,female,neg
61791283,10/6/2021,14,1401,140118,cat,male,neg
61789701,7/29/2021,14,1412,141201,cat,male,neg
61789008,6/20/2021,14,1407,140703,cat,male,neg
61788719,6/16/2021,14,1407,140703,cat,male,neg
61789315,4/22/2021,14,1412,141206,cat,male,neg
61789314,4/22/2021,14,1412,141204,cat,female,neg
61789311,4/22/2021,14,1411,141109,cat,male,neg
61789310,4/22/2021,14,1411,141103,cat,male,neg
61785760,1/7/2021,14,1401,140116,cat,male,neg
61785759,1/7/2021,14,1401,140114,cat,male,neg
61785758,1/7/2021,14,1401,140113,cat,male,neg
61791162,9/13/2021,15,1506,150609,cat,male,neg
61791161,9/13/2021,15,1506,150602,cat,male,neg
61791149,9/13/2021,15,1507,150704,cat,male,neg
61791159,8/23/2021,15,1507,150701,cat,male,neg
61788664,3/15/2021,15,1504,150404,cat,male,neg
61786656,3/1/2021,15,1504,150408,cat,male,neg
61786655,3/1/2021,15,1504,150412,cat,male,neg
61786651,2/1/2021,15,1505,150501,cat,female,neg
61786650,1/25/2021,15,1505,150501,cat,female,neg
61786649,1/25/2021,15,1505,150506,cat,female,neg
61786648,1/25/2021,15,1505,150504,cat,female,neg
61786647,1/25/2021,15,1505,150505,cat,female,neg
61786646,1/25/2021,15,1505,150502,cat,female,neg
61786645,1/25/2021,15,1505,150503,cat,female,neg
61786643,1/11/2021,15,1505,150507,cat,female,neg
61786642,1/4/2021,15,1506,150614,cat,male,neg
61791156,9/27/2021,16,1611,161106,cat,male,unknown
61790791,9/6/2021,16,1611,161102,cat,female,unknown
61790790,9/6/2021,16,1611,161101,cat,female,unknown
61790789,9/6/2021,16,1611,161101,cat,female,unknown
61790788,9/6/2021,16,1605,160501,cat,male,unknown
61791173,8/30/2021,16,1601,160119,cat,male,unknown
61791172,8/19/2021,16,1608,160801,cat,male,unknown
61791171,8/19/2021,16,1608,160805,cat,male,unknown
61787995,4/8/2021,16,1601,160103,cat,male,neg
61787994,4/8/2021,16,1601,160125,cat,male,neg
61787985,3/29/2021,16,1604,160404,cat,male,neg
61787983,3/29/2021,16,1604,160407,cat,female,neg
61787977,3/29/2021,16,1604,160414,cat,female,neg
61787975,3/29/2021,16,1604,160410,cat,male,neg
61787970,3/18/2021,16,1601,160113,cat,male,neg
61787969,2/22/2021,16,1610,161002,cat,male,neg
61786038,1/7/2021,16,1604,160418,cat,male,neg
61786037,1/7/2021,16,1604,160411,cat,male,neg
61785908,1/7/2021,16,1604,160405,cat,female,neg
61785907,1/7/2021,16,1604,160422,cat,male,neg
61791878,11/24/2021,17,1704,170403,cat,male,neg
61791877,11/24/2021,17,1704,170404,cat,female,neg
61791874,11/24/2021,17,1702,170201,cat,male,neg
61790446,7/29/2021,17,1706,170604,cat,male,neg
61790445,7/29/2021,17,1706,170610,cat,male,neg
61790444,7/29/2021,17,1706,170605,cat,female,neg
61790443,7/29/2021,17,1706,170603,cat,female,neg
61790442,7/29/2021,17,1706,170601,cat,male,neg
61790439,7/6/2021,17,1706,170607,cat,male,neg
61790420,5/12/2021,17,1703,170303,cat,female,neg
61790430,4/22/2021,17,1701,170108,cat,female,neg
61790423,4/22/2021,17,1704,170404,cat,male,neg
61786924,2/8/2021,17,1706,170609,cat,female,neg
61786921,2/8/2021,17,1704,170405,cat,female,neg
61786916,2/8/2021,17,1701,170102,cat,female,neg
61786915,2/8/2021,17,1701,170103,cat,female,neg
61786914,1/21/2021,17,1701,170106,cat,male,neg
61786913,1/21/2021,17,1701,170107,cat,female,neg
61786945,1/19/2021,17,1703,170304,cat,female,neg
61786944,1/19/2021,17,1703,170302,cat,female,neg
61786943,1/19/2021,17,1703,170303,cat,female,neg
61786938,1/19/2021,17,1703,170305,cat,female,neg
61786928,1/19/2021,17,1705,170503,cat,female,neg
61786927,1/19/2021,17,1705,170502,cat,male,neg
61786926,1/19/2021,17,1705,170501,cat,male,neg
61786923,1/19/2021,17,1704,170401,cat,male,neg
61790769,9/9/2021,18,1806,180605,cat,female,neg
61790767,9/9/2021,18,1806,180609,cat,female,neg
61790765,9/9/2021,18,1806,180602,cat,male,neg
61790471,8/25/2021,18,1808,180802,cat,female,neg
61790470,8/25/2021,18,1805,180504,cat,male,neg
61790460,8/25/2021,18,1801,180101,cat,female,neg
61790457,8/25/2021,18,1806,180611,cat,female,neg
61790469,8/18/2021,18,1804,180401,cat,female,neg
61790194,8/18/2021,18,1801,180104,cat,female,neg
61790193,6/18/2021,18,1801,180102,cat,female,neg
61790494,5/27/2021,18,1801,180105,cat,male,neg
61790233,5/27/2021,18,1806,180608,cat,female,neg
61790236,5/18/2021,18,1807,180704,cat,female,neg
61790235,5/18/2021,18,1807,180703,cat,female,neg
61790213,5/18/2021,18,1804,180405,cat,male,neg
61790212,5/18/2021,18,1804,180401,cat,male,neg
61790211,5/18/2021,18,1803,180306,cat,male,neg
61790208,5/18/2021,18,1803,180301,cat,male,neg
61790207,5/18/2021,18,1803,180304,cat,male,neg
61790205,5/18/2021,18,1803,180303,cat,male,neg
61790495,4/28/2021,18,1807,180701,cat,female,neg
61790234,4/28/2021,18,1807,180702,cat,male,neg
61790203,4/28/2021,18,1802,180204,cat,male,neg
61790200,3/24/2021,18,1802,180201,cat,female,neg
61790198,3/24/2021,18,1802,180203,cat,female,neg
61790197,3/24/2021,18,1802,180201,cat,male,neg
61790196,3/24/2021,18,1802,180205,cat,female,neg
61788210,3/24/2021,18,1802,180205,cat,female,neg
61790493,3/3/2021,18,1801,180109,cat,female,neg
61790232,1/20/2021,18,1806,180601,cat,female,neg
61791904,12/16/2021,19,1905,190506,cat,male,neg
61791859,12/7/2021,19,1905,190508,cat,female,neg
61791858,12/2/2021,19,1905,190503,cat,male,neg
61791857,11/30/2021,19,1905,190502,cat,female,neg
61791856,10/19/2021,19,1901,190108,cat,male,neg
61791855,10/19/2021,19,1901,190114,cat,male,neg
61791854,10/19/2021,19,1901,190112,cat,male,neg
61791286,10/1/2021,19,1910,191001,cat,male,neg
61790592,9/9/2021,19,1902,190215,cat,male,neg
61790591,9/9/2021,19,1902,190211,cat,male,neg
61790589,9/9/2021,19,1902,190212,cat,male,neg
61790587,9/9/2021,19,1902,190201,cat,male,neg
61790585,9/9/2021,19,1902,190202,cat,male,neg
61790151,8/24/2021,19,1901,190108,cat,male,neg
61790143,8/24/2021,19,1901,190111,cat,male,neg
61790141,8/24/2021,19,1901,190113,cat,male,neg
61790139,8/17/2021,19,1909,190908,cat,male,neg
61789004,6/29/2021,19,1903,190309,cat,male,neg
61789016,6/24/2021,19,1903,190310,cat,male,neg
61789001,6/24/2021,19,1903,190310,cat,male,neg
61789000,6/24/2021,19,1903,190315,cat,male,neg
61788999,6/24/2021,19,1903,190313,cat,male,neg
61789005,6/8/2021,19,1903,190317,cat,male,neg
61787922,4/2/2021,19,1905,190502,cat,male,neg
61787524,3/5/2021,19,1913,191303,cat,female,neg
61787528,2/24/2021,19,1901,190109,cat,male,neg
61790608,2/16/2021,19,1906,190601,cat,male,neg
61786164,1/29/2021,19,1909,190904,cat,male,neg
61791910,12/24/2021,20,2007,200703,cat,male,neg
61791722,12/8/2021,20,2004,200404,cat,male,posit
61791664,11/12/2021,20,2007,200707,cat,female,neg
61791434,10/11/2021,20,2001,200116,cat,female,neg
61791146,9/25/2021,20,2004,200407,cat,female,neg
61790938,9/20/2021,20,2004,200408,cat,male,posit
61788845,6/17/2021,20,2006,200601,cat,male,neg
61786212,2/4/2021,20,2007,200702,cat,female,neg
61791905,12/22/2021,21,2103,210302,cat,female,neg
61787275,3/2/2021,21,2108,210804,cat,female,neg
61787111,3/2/2021,21,2101,210111,cat,male,posit
61787277,3/1/2021,21,2104,210402,cat,female,neg
61791768,12/9/2021,22,2209,220901,cat,male,neg
61791767,12/9/2021,22,2209,220905,cat,male,neg
61791766,12/2/2021,22,2209,220902,cat,female,neg
61791657,11/3/2021,22,2210,221005,cat,male,neg
61791656,10/8/2021,22,2210,221003,cat,male,neg
61791654,10/8/2021,22,2210,221002,cat,male,neg
61790656,9/8/2021,22,2201,220104,cat,female,neg
61790652,9/8/2021,22,2201,220106,cat,male,neg
61789574,7/30/2021,22,2203,220303,cat,male,neg
61789109,7/11/2021,22,2209,220901,cat,female,neg
61788688,6/1/2021,22,2209,220904,cat,female,neg
61788456,5/20/2021,22,2203,220308,cat,female,neg
61788165,4/29/2021,22,2207,220701,cat,male,neg
61786535,3/3/2021,22,2210,221004,cat,female,neg
61786547,2/18/2021,22,2208,220801,cat,female,neg
61786540,2/3/2021,22,2210,221005,cat,female,neg
61786533,2/3/2021,22,2208,220801,cat,female,neg
61787626,3/5/2021,24,2401,240111,cat,female,unknown
61787623,2/26/2021,24,2401,240101,cat,female,neg
61787625,2/19/2021,24,2403,240301,cat,male,neg
61791049,9/23/2021,25,2502,250213,cat,male,neg
61788178,4/29/2021,26,2601,260105,cat,female,neg
61788177,4/29/2021,26,2601,260109,cat,female,neg
61788174,4/29/2021,26,2601,260106,cat,female,neg
61788172,4/29/2021,26,2601,260112,cat,female,neg
61788171,4/29/2021,26,2601,260111,cat,male,neg
61788170,4/29/2021,26,2601,260102,cat,female,neg
61788169,4/29/2021,26,2601,260107,cat,female,neg
61786118,1/21/2021,26,2603,260307,cat,female,neg
61790896,8/27/2021,27,2708,270801,cat,male,neg
61790894,8/27/2021,27,2702,270201,cat,male,neg
61790893,8/27/2021,27,2702,270203,cat,male,neg
61790900,8/26/2021,27,2703,270306,cat,male,neg
61790899,8/26/2021,27,2703,270307,cat,female,neg
61790898,8/26/2021,27,2703,270301,cat,female,neg
61790895,8/26/2021,27,2702,270207,cat,male,neg
61790892,8/26/2021,27,2702,270204,cat,female,neg
61790897,6/23/2021,27,2703,270302,cat,male,neg
61790889,6/22/2021,27,2701,270102,cat,female,neg
61788557,4/27/2021,27,2707,270702,cat,female,neg
61788654,3/29/2021,27,2708,270802,cat,female,neg
61788620,3/29/2021,27,2705,270510,cat,female,neg
61788610,3/29/2021,27,2705,270509,cat,male,neg
61788606,3/29/2021,27,2705,270506,cat,male,neg
61788655,3/26/2021,27,2702,270206,cat,male,neg
61788617,3/26/2021,27,2705,270508,cat,female,neg
61788608,3/26/2021,27,2705,270505,cat,female,neg
61788549,3/26/2021,27,2701,270101,cat,female,neg
61788625,3/25/2021,27,2705,270507,cat,male,neg
61788619,3/25/2021,27,2705,270504,cat,male,neg
61788672,3/11/2021,27,2706,270606,cat,male,neg
61788673,3/10/2021,27,2706,270601,cat,male,neg
61788670,3/10/2021,27,2706,270610,cat,male,neg
61788667,3/10/2021,27,2706,270612,cat,male,neg
61788653,3/10/2021,27,2709,270903,cat,male,neg
61788649,3/10/2021,27,2704,270406,cat,male,neg
61788674,3/8/2021,27,2706,270611,cat,male,neg
61788669,3/8/2021,27,2706,270603,cat,female,neg
61788587,1/27/2021,27,2705,270503,cat,male,neg
61788650,1/5/2021,27,2704,270401,cat,male,neg
61791270,8/25/2021,30,3007,300707,cat,female,neg
61791600,8/10/2021,30,3025,302505,cat,male,neg
61791508,8/10/2021,30,3030,303004,cat,male,neg
61791504,8/10/2021,30,3030,303001,cat,female,neg
61791474,8/10/2021,30,3021,302108,cat,male,neg
61791407,8/10/2021,30,3002,300201,cat,female,neg
61791406,8/10/2021,30,3003,300301,cat,male,neg
61791405,8/10/2021,30,3003,300302,cat,male,neg
61791229,6/3/2021,30,3020,302001,cat,female,neg
61791224,5/18/2021,30,3020,302004,cat,female,neg
61791228,5/17/2021,30,3020,302009,cat,female,neg
61791227,5/17/2021,30,3020,302006,cat,female,neg
61791226,5/17/2021,30,3020,302001,cat,female,neg
61791225,5/15/2021,30,3020,302001,cat,female,neg
61791222,4/8/2021,30,3028,302802,cat,male,neg
61789688,3/24/2021,30,3008,300808,cat,male,neg
61789909,2/24/2021,30,3021,302107,cat,female,neg
61789690,2/24/2021,30,3025,302505,cat,male,neg
61789934,8/23/2021,31,3110,311001,cat,female,neg
61789932,8/23/2021,31,3106,310601,cat,female,neg
61789925,8/3/2021,31,3104,310426,cat,male,neg
61789884,8/3/2021,31,3104,310405,cat,male,neg
61789059,7/9/2021,31,3109,310909,cat,male,neg
61789066,6/30/2021,31,3109,310903,cat,female,neg
61789065,6/30/2021,31,3109,310902,cat,male,neg
61789063,6/30/2021,31,3109,310901,cat,female,neg
61788831,6/22/2021,31,3107,310716,cat,female,posit
61788784,6/17/2021,31,3101,310101,cat,female,neg
61788464,5/31/2021,31,3122,312201,cat,male,neg
61788370,5/5/2021,31,3111,311101,cat,male,neg
61788289,4/20/2021,31,3111,311103,cat,male,neg
61786639,3/3/2021,31,3109,310902,cat,male,neg
61791419,11/5/2021,32,3205,320501,cat,female,neg
61791114,9/21/2021,32,3212,321202,cat,female,neg
61791113,9/21/2021,32,3212,321205,cat,female,neg
61791112,9/21/2021,32,3212,321204,cat,female,neg
61791111,9/21/2021,32,3212,321203,cat,female,neg
61791110,9/21/2021,32,3212,321202,cat,female,neg
61790392,9/1/2021,32,3211,321103,cat,male,neg
61790389,8/31/2021,32,3211,321101,cat,female,neg
61789997,8/27/2021,32,3201,320106,cat,male,neg
61789643,8/6/2021,32,3213,321301,cat,male,neg
61789642,8/6/2021,32,3213,321301,cat,male,neg
61789641,8/6/2021,32,3213,321306,cat,female,neg
61789640,8/6/2021,32,3213,321304,cat,female,neg
61789638,8/6/2021,32,3213,321305,cat,male,neg
61789637,8/6/2021,32,3213,321302,cat,female,neg
61789636,8/6/2021,32,3213,321303,cat,female,neg
61789300,7/29/2021,32,3214,321404,cat,male,neg
61789298,7/29/2021,32,3214,321403,cat,male,neg
61789296,7/29/2021,32,3214,321401,cat,female,neg
61789265,7/25/2021,32,3206,320604,cat,male,neg
61789264,7/25/2021,32,3206,320601,cat,female,neg
61789263,7/25/2021,32,3206,320610,cat,female,neg
61789262,7/25/2021,32,3206,320605,cat,female,neg
61789267,7/22/2021,32,3203,320301,cat,female,neg
61789266,7/22/2021,32,3203,320301,cat,female,neg
61789023,6/30/2021,32,3201,320118,cat,female,neg
61788458,5/17/2021,32,3212,321209,cat,female,neg
61787801,4/9/2021,32,3201,320111,cat,male,neg
61787361,3/30/2021,32,3201,320101,cat,female,neg
61786577,2/24/2021,32,3205,320511,cat,male,neg
61790099,8/25/2021,33,3304,330403,cat,male,neg
61790097,8/25/2021,33,3315,331501,cat,female,neg
61790096,8/25/2021,33,3315,331504,cat,female,neg
61790095,8/25/2021,33,3315,331503,cat,female,neg
61790094,8/25/2021,33,3315,331505,cat,female,neg
61790093,8/25/2021,33,3315,331502,cat,female,neg
61787929,3/24/2021,33,3309,330901,cat,female,neg
61786660,2/25/2021,33,3304,330424,cat,male,neg
61786659,2/25/2021,33,3304,330412,cat,male,neg
61786458,2/4/2021,33,3302,330201,cat,male,neg
61789764,8/19/2021,34,3401,340111,cat,female,neg
61789742,8/17/2021,34,3430,343003,cat,male,neg
61789660,8/11/2021,34,3425,342503,cat,male,neg
61789659,8/11/2021,34,3425,342504,cat,male,neg
61789658,8/11/2021,34,3425,342506,cat,male,neg
61789439,8/5/2021,34,3411,341119,cat,female,neg
61789429,8/5/2021,34,3408,340801,cat,female,neg
61788705,3/18/2021,34,3408,340801,cat,male,neg
61790248,9/6/2021,35,3501,350118,cat,female,neg
61790067,8/31/2021,35,3505,350502,cat,male,neg
61789862,8/24/2021,35,3501,350112,cat,female,neg
61789861,8/24/2021,35,3504,350403,cat,female,neg
61789633,8/9/2021,35,3501,350115,cat,female,neg
61789535,8/2/2021,35,3502,350204,cat,male,neg
61789028,7/6/2021,35,3504,350401,cat,female,neg
61791967,12/14/2021,36,3604,360403,cat,male,neg
61791668,11/9/2021,36,3604,360401,cat,female,neg
61791066,9/28/2021,36,3601,360119,cat,female,unknown
61791065,9/28/2021,36,3601,360118,cat,male,unknown
61791064,9/28/2021,36,3601,360116,cat,male,unknown
61791063,9/28/2021,36,3601,360115,cat,female,unknown
61791062,9/28/2021,36,3601,360114,cat,female,unknown
61791061,9/28/2021,36,3601,360113,cat,female,unknown
61791060,9/28/2021,36,3601,360112,cat,female,unknown
61791059,9/28/2021,36,3601,360111,cat,male,unknown
61791057,9/28/2021,36,3604,360412,cat,female,unknown
61791208,9/9/2021,36,3604,360404,cat,female,neg
61791204,9/9/2021,36,3604,360410,cat,female,neg
61791203,9/9/2021,36,3604,360404,cat,female,neg
61791202,9/9/2021,36,3601,360106,cat,female,neg
61791181,8/18/2021,36,3601,360111,cat,female,neg
61791180,8/18/2021,36,3601,360103,cat,male,neg
